127.0.0.1 - - [28/Mar/2022:10:41:29 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:41:30 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:41:30 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:41:46 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:41:46 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:41:46 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:42:27 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:43:05 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:43:05 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:43:05 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:07 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:07 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:07 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:09 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:09 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:11 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:59 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:44:59 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:46:37 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:46:42 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:46:42 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:46:42 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:14 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:15 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:16 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:16 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:16 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:16 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:16 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:16 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:20 +0800] "GET /Ajax/m04/book1.html HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:20 +0800] "GET /Ajax/res/book1.xml HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [28/Mar/2022:10:47:20 +0800] "GET /favicon.ico HTTP/1.1" 404 762
